kunta;summa;laji;kotihoito;vaestonmuutos
Alajärvi;1407;221.5;4
Alavieska;1205.2;;248.7;4
Alavus;1401.8;331.4;4
Asikkala;1101.1;275.2;3
Askola;1176.7;212.2;3
